Kanji,Reading,JLPT,Type,Meaning
['宜しい'],[['よろしい']],1,['&adj-i;'],"['good', 'OK', 'all right', 'fine', 'very well', 'will do', 'may', 'can']"
['疑惑'],[['ぎわく']],1,"['&n;', '&adj-no;', '&n-suf;']","['doubt', 'misgivings', 'distrust', 'suspicion']"
['義務'],[['ぎむ']],1,"['&n;', '&adj-no;']","['duty', 'obligation', 'responsibility']"
['義理'],[['ぎり']],1,"['&n;', '&adj-no;']","['duty', 'sense of duty', 'honor', 'honour', 'decency', 'courtesy', 'debt of gratitude', 'social obligation']"
['吉兆'],[['きっちょう']],1,"['&n;', '&adj-no;']","['lucky omen', 'good omen']"
['脚線美'],[['きゃくせんび']],1,"['&n;', '&adj-no;']",['beauty of slender female legs']
['及び難い'],[['およびがたい']],1,['&adj-i;'],['hard to attain to']
['宮廷'],[['きゅうてい']],1,"['&n;', '&adj-no;']","['imperial court', 'royal court']"
['宮殿'],[['きゅうでん']],1,"['&n;', '&adj-no;']",['palace']
['弓なり'],"[['ゆみなり'], ['ゆみがた'], ['きゅうけい']]",1,"['&n;', '&adj-no;']","['bow shape', 'arc', 'arch']"
['弓術'],[['きゅうじゅつ']],1,"['&n;', '&adj-no;']",['(Japanese) archery']
['急激'],[['きゅうげき']],1,['&adj-na;'],"['sudden', 'abrupt', 'rapid', 'sharp', 'drastic', 'radical']"
['球菌'],[['きゅうきん']],1,"['&n;', '&adj-no;']",['coccus']
['旧態依然'],[['きゅうたいいぜん']],1,"['&adj-na;', '&adj-no;', '&adj-t;', '&adv-to;', '&n;']","['remaining unchanged (from the old state of things)', 'none the better for the change (if at all)']"
['巨視的'],[['きょしてき']],1,['&adj-na;'],['macroscopic']
['挙げた'],[['あげた']],1,['&adj-f;'],['brought up (e.g. topic)']
['虚々実々'],[['きょきょじつじつ']],1,"['&n;', '&adj-no;']","['full of wiles and tricks', 'match between persons equal in shrewdness mobilizing all the tricks each can muster', ""shrewdly avoiding the opponent's strong points and attacking its weaknesses""]"
['虚偽'],"[['きょぎ'], ['こぎ']]",1,"['&n;', '&adj-no;']","['falsehood', 'untruth', 'lie', 'misinformation']"
